latitude,longitude,accessibility_type_group_text
51.48032,-0.03381333,Public Access
53.6117,-2.676204,Public Access
53.79378,-2.288677,Private
51.38245,0.04509817,Public Access
54.9603,-1.524379,Public Access
53.0339,-2.169389,Public Access
54.54345,-1.245177,Public Access
54.54345,-1.245177,Public Access
51.0156,-4.225239,Private
53.42822,-2.912104,Private
53.7151,-2.48447,Public Access
51.40979,-0.131185,Public Access
53.08903,-2.454972,Public Access
51.40676,0.4925594,Private
51.40676,0.4925594,Public Access
50.38359,-3.514257,Public Access
51.43311,-0.1197458,Public Access
52.4482,0.05245917,Public Access
52.95302,-1.29475,Public Access
51.52479,-0.9213628,Private
51.36094,1.418563,Public Access
53.79378,-2.288677,Private
51.5736,-0.3528544,Public Access
50.61907,-4.682356,Private
53.7151,-2.48447,Public Access
53.50772,-2.171863,Public Access
53.1422,-1.552199,Public Access
51.51207,-2.551785,Public Access
51.59098,-0.2640975,Private
52.4781,-0.7333745,Public Access
51.51207,-2.551785,Public Access
53.7151,-2.48447,Public Access
51.66993,-0.407794,Private
52.51406,-1.929014,Private
54.54345,-1.245177,Public Access
51.75166,0.4618106,Public Access
51.47355,-0.1195815,Public Access
53.38108,-2.270664,Public Access
51.0156,-4.225239,Private
50.28788,-4.785776,Public Access
52.96382,-1.234909,Private
53.78366,-2.228256,Public Access
51.47355,-0.1195815,Public Access
50.86235,-0.6283563,Private
54.55468,-1.172661,Public Access
53.52969,-2.222486,Public Access
51.42329,-0.3101096,Public Access
51.5736,-0.3528544,Public Access
51.53291,-0.187945,Public Access
52.49144,-1.844695,Public Access
52.4482,0.05245917,Private
53.38108,-2.270664,Public Access
53.85575,-1.846009,Private
51.01657,-4.217709,Public Access
54.54345,-1.245177,Public Access
53.1422,-1.552199,Public Access
51.0156,-4.225239,Private
51.53831,0.00152129,Public Access
53.18971,-2.891813,Public Access
51.40979,-0.131185,Public Access
53.7151,-2.48447,Public Access
51.01657,-4.217709,Public Access
54.54345,-1.245177,Public Access
53.79378,-2.288677,Private
52.36988,-1.243083,Private
53.79398,-2.294041,Private
51.40979,-0.131185,Public Access
51.53831,0.00152129,Public Access
51.01657,-4.217709,Public Access
51.40676,0.4925594,Public Access
52.49144,-1.844695,Public Access
51.42294,0.3978128,Public Access
51.42294,0.3978128,Public Access
51.42294,0.3978128,Public Access
51.40676,0.4925594,Public Access
54.54345,-1.245177,Public Access
54.54345,-1.245177,Public Access
51.79805,-1.186604,Private
53.50772,-2.171863,Public Access
51.42294,0.3978128,Public Access
52.36988,-1.243083,Public Access
51.51207,-2.551785,Public Access
53.7151,-2.48447,Public Access
53.7151,-2.48447,Public Access
51.42294,0.3978128,Public Access
54.54484,-1.265723,Public Access
51.40979,-0.131185,Public Access
50.94315,-0.1648751,Private
51.40654,-0.1737786,Public Access
51.14455,0.2356285,Private
52.4781,-0.7333745,Private
51.01836,-4.215487,Private
51.4797,0.1038424,Private
52.4781,-0.7333745,Public Access
54.9603,-1.524379,Public Access
53.42822,-2.912104,Private
52.96226,0.5829574,Public Access
52.96382,-1.234909,Private
52.5627,-1.833771,Public Access
53.7151,-2.48447,Public Access
51.47355,-0.1195815,Public Access
51.37711,-0.09736913,Public Access
