Code,Name,Borrowing,Assets,Population,Income,DebtToAssets,DebtToAssetsRank,DebtToPop,DebtToIncome,PopulationChange,Country,lad
E3632,Epsom & Ewell,64427,98393,,,0.654792516,340,,,,E,E07000208
E0104,North Somerset,132029,202300,,,0.652639644,341,,,,E,E06000024
E3435,South Staffordshire,15000,23100,,,0.649350649,342,,,,E,E07000196
E3538,East Suffolk,65485,100890,,,0.649073248,343,,,,E,E07000244
E2634,King's Lynn & West Norfolk,10000,16300,,,0.613496933,345,,,,E,E07000146
E3832,Arun,35460,57890,,,0.612541026,347,,,,E,E07000224
E1039,South Derbyshire,47512,79362,,,0.598674429,349,,,,E,E07000039
E5018,Lewisham,184978,310186,,,0.596345419,350,,,,E,E09000023
E1636,Tewkesbury,20067,34047,,,0.589391136,351,,,,E,E07000083
E1839,Wyre Forest,34310,58651,,,0.584985763,352,,,,E,E07000239
E4001,Isles of Scilly,1750,2995,,,0.584307179,353,,,,E,E06000053
E2239,Sevenoaks,14484,24949,,,0.58054431,354,,,,E,E07000111
E1437,Wealden,54312,97710,,,0.555848941,357,,,,E,E07000065
E2338,Pendle,20359,39450,,,0.516070976,362,,,,E,E07000122
E5022,Westminster,587583,1161092,,,0.506060674,365,,,,E,E09000033
E1837,Worcester,16401,32972,,,0.497422055,366,,,,E,E07000237
E2237,Maidstone,9000,18185,,,0.49491339,367,,,,E,E07000110
E1939,Watford,49500,106197,,,0.466114862,370,,,,E,E07000103
E0551,Huntingdonshire,34277,78725,,,0.435401715,371,,,,E,E07000011
E1542,Tendring,33448,80644,,,0.414761173,373,,,,E,E07000076
E3631,Elmbridge,50155,129853,,,0.386244446,377,,,,E,E07000207
E3437,Staffordshire Moorlands,7604,20372,,,0.373257412,378,,,,E,E07000198
E1136,South Hams,13924,39525,,,0.352283365,379,,,,E,E07000044
E2242,Thanet,19625,56839,,,0.345273492,380,,,,E,E07000114
E0533,Fenland,7800,22674,,,0.344006351,381,,,,E,E07000010
E2402,Rutland,21386,62205,,,0.34379873,382,,,,E,E06000017
E1736,Hart,15514,45161,,,0.343526494,383,,,,E,E07000089
E2635,North Norfolk,10000,29850,,,0.335008375,384,,,,E,E07000147
E3034,Gedling,10812,33077,,,0.326873658,385,,,,E,E07000173
E2637,South Norfolk,20000,68643,,,0.291362557,389,,,,E,E07000149
E2336,Hyndburn,9520,38173,,,0.249390931,390,,,,E,E07000120
E2341,Rossendale,3716,15618,,,0.237930593,391,,,,E,E07000125
E5044,Merton,70700,298641,,,0.236739095,392,,,,E,E09000024
E1134,North Devon,3000,14800,,,0.202702703,395,,,,E,E07000043
E2241,Swale,5000,25245,,,0.198059022,396,,,,E,E07000113
E2339,Preston,12305,64728,,,0.190103201,397,,,,E,E07000123
E1938,Three Rivers,8000,45771,,,0.17478316,401,,,,E,E07000102
S8902,Shetland Islands,49000,282476,,,0.173466064,402,,,,S,S12000027
E2233,Dartford,32203,191090,,,0.168522686,403,,,,E,E07000107
E3539,West Suffolk,9500,56500,,,0.168141593,404,,,,E,E07000245
E1035,Derbyshire Dales,5450,33173,,,0.164290236,406,,,,E,E07000035
E2431,Blaby,5822,36436,,,0.159787024,407,,,,E,E07000129
S8901,Orkney Islands,40029,265176,,,0.150952575,409,,,,S,S12000023
N9707,Fermanagh and Omagh,3535,26477,,,0.133512105,411,,,,N,N09000006
N9710,Mid-Ulster,3735,35216,,,0.106059746,412,,,,N,N09000009
E3432,East Staffordshire,6365,62437,,,0.101942758,413,,,,E,E07000193
E1532,Braintree,5400,69077,,,0.078173632,415,,,,E,E07000067
E1742,Test Valley,6396,103541,,,0.061772631,416,,,,E,E07000093
E1737,Havant,2993,62137,,,0.048167758,418,,,,E,E07000090
E5021,Wandsworth,26343,689024,,,0.03823234,420,,,,E,E09000032
E1139,Torridge,482,20000,,,0.0241,423,,,,E,E07000046
E1535,Chelmsford,1135,49839,,,0.02277333,424,,,,E,E07000070
E2433,Harborough,1490,69518,,,0.021433298,425,,,,E,E07000131
E2531,Boston,1000,48574,,,0.020587145,426,,,,E,E07000136
E3433,Lichfield,1005,57620,,,0.01744186,427,,,,E,E07000194
E1935,North Hertfordshire,357,61000,,,0.005852459,430,,,,E,E07000099
E1731,Basingstoke & Deane,123,138778,,,0.000886308,431,,,,E,E07000084
E1031,Amber Valley,0,60627,,,0.0,432,,,,E,E07000032
E2631,Breckland,0,28934,,,0.0,432,,,,E,E07000143
E2632,Broadland,0,36132,,,0.0,432,,,,E,E07000144
E5034,Bromley,0,370078,,,0.0,432,,,,E,E09000006
E1831,Bromsgrove,0,10600,,,0.0,432,,,,E,E07000234
E3833,Chichester,0,118050,,,0.0,432,,,,E,E07000225
E5010,City of London,0,1939565,,,0.0,432,,,,E,E09000001
E1632,Cotswold,0,38288,,,0.0,432,,,,E,E07000079
E0532,East Cambridgeshire,0,35738,,,0.0,432,,,,E,E07000009
E2532,East Lindsey,0,102772,,,0.0,432,,,,E,E07000137
E1036,Erewash,0,27264,,,0.0,432,,,,E,E07000036
E1633,Forest of Dean,0,21745,,,0.0,432,,,,E,E07000080
E2335,Fylde,0,31381,,,0.0,432,,,,E,E07000119
E1934,Hertsmere,0,69510,,,0.0,432,,,,E,E07000098
E3835,Horsham,0,89033,,,0.0,432,,,,E,E07000227
E1539,Maldon,0,33806,,,0.0,432,,,,E,E07000074
E1851,Malvern Hills,0,40500,,,0.0,432,,,,E,E07000235
E3836,Mid Sussex,0,96225,,,0.0,432,,,,E,E07000228
E3434,Newcastle-under-Lyme,0,29176,,,0.0,432,,,,E,E07000195
E3635,Reigate & Banstead,0,64640,,,0.0,432,,,,E,E07000211
E2340,Ribble Valley,0,30699,,,0.0,432,,,,E,E07000124
E1540,Rochford,0,24000,,,0.0,432,,,,E,E07000075
E3038,Rushcliffe,0,90472,,,0.0,432,,,,E,E07000176
E3133,South Oxfordshire,0,192495,,,0.0,432,,,,E,E07000179
E2342,South Ribble,0,46676,,,0.0,432,,,,E,E07000126
E3436,Stafford,0,81064,,,0.0,432,,,,E,E07000197
E3734,Stratford-on-Avon,0,97527,,,0.0,432,,,,E,E07000221
E1137,Teignbridge,0,45650,,,0.0,432,,,,E,E07000045
E2243,Tonbridge & Malling,0,76128,,,0.0,432,,,,E,E07000115
E2244,Tunbridge Wells,0,62000,,,0.0,432,,,,E,E07000116
E3134,Vale of White Horse,0,162377,,,0.0,432,,,,E,E07000180
E3135,West Oxfordshire,0,45543,,,0.0,432,,,,E,E07000181
E1838,Wychavon,0,127398,,,0.0,432,,,,E,E07000238
E2344,Wyre,0,51818,,,0.0,432,,,,E,E07000128
E2701,York,297265,-2809,,,-105.8259167,479,,,,E,E06000014
E5020,Tower Hamlets,0,0,,,,#VALUE!,,,,E,E09000030
